ts,elapsed_s,rss_kb,fd,cpu_pct,threads,minflt,majflt,vctx,nvctx,tcp_est,tcp_tw,tcp_cw,sock_orphan,sock_alloc,sock_mem,lat_p50_us,lat_p99_us,active,hs_inflight,accepted,opened,rejected,closed,hs_timeout,bp_close,proto_err,utf8_err,too_large,panic
1781062915,17683,7632,9011,257.0,6,6408,132,5,0,9000,0,0,0,18140,17327,23332,37689,9100,0,6529800,6529800,0,6520700,0,0,0,0,0,0
1781063217,17985,7636,9011,256.6,6,6436,132,5,0,9000,0,0,0,18141,17837,25700,36884,9100,0,6664900,6664900,0,6655800,0,0,0,0,0,0
1781063520,18288,7616,9011,255.9,6,6496,132,5,0,9000,0,0,0,18140,16810,25355,31411,9100,0,6800000,6800000,0,6790900,0,0,0,0,0,0
1781063822,18590,7616,9011,256.8,6,6500,132,5,0,9000,0,0,0,18144,16819,25788,31689,9100,0,6935100,6935100,0,6926000,0,0,0,0,0,0
1781064124,18892,7616,9011,256.6,6,6500,132,5,0,9000,0,0,0,18140,16845,25830,30862,9100,0,7070200,7070200,0,7061100,0,0,0,0,0,0
1781064426,19194,7632,9011,256.8,6,6513,132,5,0,9000,0,0,0,18141,17869,24444,34068,9100,0,7205300,7205300,0,7196200,0,0,0,0,0,0
1781064728,19496,7616,9011,256.4,6,6535,132,5,0,9000,0,0,0,18139,16594,26556,34331,9100,0,7340400,7340400,0,7331300,0,0,0,0,0,0
1781065030,19798,7616,9011,256.4,6,6537,132,5,0,9000,0,0,0,18141,17622,26045,32899,9100,0,7475500,7475500,0,7466400,0,0,0,0,0,0
1781065332,20100,7616,9011,256.9,6,6550,132,5,0,9000,0,0,0,18140,16862,499,30962,9100,0,7610600,7610600,0,7601500,0,0,0,0,0,0
1781065635,20403,7616,3011,255.8,6,6596,132,5,0,3000,0,0,0,12442,7134,25993,30465,9100,0,7754700,7754700,0,7745600,0,0,0,0,0,0
1781065937,20705,7616,9011,256.7,6,6596,132,5,0,9000,0,0,0,18142,16613,25711,35767,9100,0,7889800,7889800,0,7880700,0,0,0,0,0,0
1781066239,21007,7648,9011,257.0,6,6648,132,5,0,9000,0,0,0,18139,16362,24969,31638,9100,0,8024900,8024900,0,8015800,0,0,0,0,0,0
1781066541,21309,7624,9011,257.2,6,6842,132,5,0,9000,0,0,0,18139,17399,26278,30541,9100,0,8160000,8160000,0,8150900,0,0,0,0,0,0
1781066843,21611,7616,9011,256.7,6,6849,132,5,0,9000,0,0,0,18140,16382,27083,35809,9100,0,8295100,8295100,0,8286000,0,0,0,0,0,0
1781067145,21913,7616,9011,256.9,6,6861,132,5,0,9000,0,0,0,18139,16390,24363,32363,9100,0,8430200,8430200,0,8421100,0,0,0,0,0,0
1781067447,22215,7616,9011,256.9,6,6871,132,5,0,9000,0,0,0,18142,16658,23750,32546,9100,0,8565300,8565300,0,8556200,0,0,0,0,0,0
1781067750,22518,7632,9011,255.7,6,6875,132,5,0,9000,0,0,0,18139,17175,24525,32303,9100,0,8700400,8700400,0,8691300,0,0,0,0,0,0
1781068052,22820,7616,9011,256.9,6,6880,132,5,0,9000,0,0,0,18146,16924,25287,30452,9100,0,8835500,8835500,0,8826400,0,0,0,0,0,0
1781068354,23122,7724,9011,256.8,6,7153,132,5,0,9000,0,0,0,18139,18202,23245,30861,9100,0,8970600,8970600,0,8961500,0,0,0,0,0,0
1781068656,23424,7616,9011,257.0,6,7293,132,5,0,9000,0,0,0,18142,16923,26133,32074,9100,0,9105700,9105700,0,9096600,0,0,0,0,0,0
1781068958,23726,7632,9011,256.8,6,7360,132,5,0,9000,0,0,0,18139,17703,764,36943,9100,0,9249800,9249800,0,9240700,0,0,0,0,0,0
1781069260,24028,7616,9011,256.8,6,7365,132,5,0,9000,0,0,0,18142,16168,26415,30970,9100,0,9384900,9384900,0,9375800,0,0,0,0,0,0
1781069562,24330,7616,9011,257.2,6,7365,132,5,0,9000,0,0,0,18140,17196,26275,30051,9100,0,9520000,9520000,0,9510900,0,0,0,0,0,0
1781069865,24633,7616,9011,256.2,6,7374,132,5,0,9000,0,0,0,18140,16942,24433,33112,9100,0,9655100,9655100,0,9646000,0,0,0,0,0,0
1781070167,24935,7616,9011,256.7,6,7385,132,5,0,9000,0,0,0,18144,16680,25795,30964,9100,0,9790200,9790200,0,9781100,0,0,0,0,0,0
1781070469,25237,7616,9011,256.8,6,7410,132,5,0,9000,0,0,0,18145,16941,24023,32652,9100,0,9925300,9925300,0,9916200,0,0,0,0,0,0
1781070771,25539,7616,9011,256.6,6,7412,132,5,0,9000,0,0,0,18143,16689,25412,38082,9100,0,10060400,10060400,0,10051300,0,0,0,0,0,0
1781071073,25841,7852,9011,256.8,6,7521,132,5,0,9000,0,0,0,18145,16961,22820,35699,9100,0,10195500,10195500,0,10186400,0,0,0,0,0,0
1781071375,26143,7664,9011,256.9,6,7962,132,5,0,9000,0,0,0,18143,17220,24132,33015,9100,0,10330600,10330600,0,10321500,0,0,0,0,0,0
1781071677,26445,7660,9011,257.1,6,8014,132,5,0,9000,0,0,0,18145,17989,24481,37673,9100,0,10465700,10465700,0,10456600,0,0,0,0,0,0
1781071979,26747,7616,9011,256.7,6,8026,132,5,0,9000,0,0,0,18145,17477,27575,36957,9100,0,10600800,10600800,0,10591700,0,0,0,0,0,0
1781072282,27050,7616,9011,256.1,6,8046,132,5,0,9000,0,0,0,18147,17477,713,32662,2350,0,10738150,10738150,0,10735800,0,0,0,0,0,0
1781072584,27352,7664,9011,256.5,6,8301,132,5,0,9000,0,0,0,18145,17477,24080,37094,9100,0,10880000,10880000,0,10870900,0,0,0,0,0,0
1781072886,27654,7616,9011,257.0,6,8430,132,5,0,9000,0,0,0,18148,16459,25579,29672,9100,0,11015100,11015100,0,11006000,0,0,0,0,0,0
1781073188,27956,7628,9011,256.5,6,8434,132,5,0,9000,0,0,0,18144,17491,24966,35851,9100,0,11150200,11150200,0,11141100,0,0,0,0,0,0
1781073490,28258,7624,9011,256.9,6,8701,132,5,0,9000,0,0,0,18148,16731,24252,31023,9100,0,11285300,11285300,0,11276200,0,0,0,0,0,0
1781073792,28560,7724,9011,257.0,6,8851,132,5,0,9000,0,0,0,18144,15965,23987,31687,9100,0,11420400,11420400,0,11411300,0,0,0,0,0,0
1781074094,28862,7648,9011,257.2,6,9149,132,5,0,9000,0,0,0,18144,17504,26515,33366,9100,0,11555500,11555500,0,11546400,0,0,0,0,0,0
1781074397,29165,7616,9011,256.2,6,9152,132,5,0,9000,0,0,0,18146,17502,26066,32894,9100,0,11690600,11690600,0,11681500,0,0,0,0,0,0
1781074699,29467,7616,9011,256.9,6,9152,132,5,0,9000,0,0,0,18145,16746,26227,30039,9100,0,11825700,11825700,0,11816600,0,0,0,0,0,0
1781075001,29769,7616,9011,256.9,6,9152,132,5,0,9000,0,0,0,18145,17009,24765,30402,9100,0,11960800,11960800,0,11951700,0,0,0,0,0,0
1781075303,30071,7768,9011,256.7,6,9239,132,5,0,9000,0,0,0,18146,18036,22869,37645,9100,0,12095900,12095900,0,12086800,0,0,0,0,0,0
1781075605,30373,7652,9011,256.7,6,9380,132,5,0,9000,0,0,2,18144,15735,732,30706,9100,0,12231000,12231000,0,12221900,0,0,0,0,0,0
1781075907,30675,7616,11,257.2,6,9458,132,5,0,0,0,0,0,6276,1401,3859,29398,9100,0,12375100,12375100,0,12366000,0,0,0,0,0,0
1781076209,30977,7632,9011,257.1,6,9462,132,5,0,9000,0,0,0,18141,17786,26467,30026,9100,0,12510200,12510200,0,12501100,0,0,0,0,0,0
1781076512,31280,7672,9011,256.3,6,9592,132,5,0,9000,0,0,0,18141,17274,25770,34736,9100,0,12645300,12645300,0,12636200,0,0,0,0,0,0
1781076814,31582,7680,9011,257.2,6,9626,132,5,0,9000,0,0,0,18140,16513,24634,30821,9100,0,12780400,12780400,0,12771300,0,0,0,0,0,0
1781077116,31884,7616,9011,256.8,6,9942,132,5,0,9000,0,0,0,18142,16267,26404,35019,9100,0,12915500,12915500,0,12906400,0,0,0,0,0,0
1781077418,32186,7616,9011,257.1,6,9951,132,5,0,9000,0,0,0,18140,16779,26311,30836,9100,0,13050600,13050600,0,13041500,0,0,0,0,0,0
1781077720,32488,7616,9011,257.1,6,9951,132,5,0,9000,0,0,0,18141,17300,26526,32748,9100,0,13185700,13185700,0,13176600,0,0,0,0,0,0
1781078022,32790,7668,9011,256.8,6,9979,132,5,0,9000,0,0,0,18141,16790,25553,32036,9100,0,13320800,13320800,0,13311700,0,0,0,0,0,0
1781078324,33092,7616,9011,257.2,6,10083,132,5,0,9000,0,0,0,18139,16534,25582,32577,9100,0,13455900,13455900,0,13446800,0,0,0,0,0,0
1781078627,33395,7616,9011,256.1,6,10083,132,5,0,9000,0,0,0,18139,16534,25631,32162,9100,0,13591000,13591000,0,13581900,0,0,0,0,0,0
1781078929,33697,7616,9011,256.9,6,10085,132,5,0,9000,0,0,0,18142,16543,26960,32554,9100,0,13726100,13726100,0,13717000,0,0,0,0,0,0
1781079231,33999,7616,9011,256.9,6,10089,132,5,0,9000,0,0,0,18139,16801,562,31817,6100,264,13867200,13866936,0,13861100,0,0,0,0,0,0
1781079533,34301,7620,9011,256.5,6,10111,132,5,0,9000,0,0,0,18139,16545,25710,32847,9100,0,14005300,14005300,0,13996200,0,0,0,0,0,0
1781079835,34603,7616,9011,257.3,6,10114,132,5,0,9000,0,0,0,18139,16548,26122,31876,9100,0,14140400,14140400,0,14131300,0,0,0,0,0,0
1781080137,34905,7616,9011,257.1,6,10114,132,5,0,9000,0,0,0,18140,16816,24488,32819,9100,0,14275500,14275500,0,14266400,0,0,0,0,0,0
1781080439,35207,7616,9011,257.1,6,10169,132,5,0,9000,0,0,0,18139,17329,25869,32633,9100,0,14410600,14410600,0,14401500,0,0,0,0,0,0
1781080741,35509,7684,9011,257.3,6,10222,132,5,0,9000,0,0,0,18141,17081,25722,36051,9100,0,14545700,14545700,0,14536600,0,0,0,0,0,0
1781081044,35812,7616,9011,256.0,6,10255,132,5,0,9000,0,0,0,18139,16069,25810,33663,9100,0,14680800,14680800,0,14671700,0,0,0,0,0,0
1781081346,36114,7852,9011,257.1,6,10432,132,5,0,9000,0,0,0,18139,18371,22122,36251,9100,0,14815900,14815900,0,14806800,0,0,0,0,0,0
